Data Table for Weekly Deaths - The United States
Date generated: Fri Jul 12 2024 14:15:38 GMT-0300 (heure normale de Brasilia)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Dec 25 2021,10458,Jul 11 2024
United States,Dec 18 2021,10250,Jul 11 2024
United States,Dec 11 2021,9734,Jul 11 2024
United States,Dec  4 2021,8781,Jul 11 2024
United States,Nov 27 2021,7886,Jul 11 2024
United States,Nov 20 2021,7310,Jul 11 2024
United States,Nov 13 2021,7159,Jul 11 2024
United States,Nov  6 2021,7287,Jul 11 2024
United States,Oct 30 2021,7960,Jul 11 2024
United States,Oct 23 2021,8941,Jul 11 2024
United States,Oct 16 2021,9878,Jul 11 2024
United States,Oct  9 2021,11180,Jul 11 2024
United States,Oct  2 2021,12830,Jul 11 2024
United States,Sep 25 2021,14347,Jul 11 2024
United States,Sep 18 2021,15211,Jul 11 2024
United States,Sep 11 2021,15417,Jul 11 2024
United States,Sep  4 2021,15493,Jul 11 2024
United States,Aug 28 2021,14174,Jul 11 2024
United States,Aug 21 2021,12181,Jul 11 2024
United States,Aug 14 2021,9406,Jul 11 2024
United States,Aug  7 2021,6484,Jul 11 2024
United States,Jul 31 2021,4105,Jul 11 2024
United States,Jul 24 2021,2760,Jul 11 2024
United States,Jul 17 2021,1991,Jul 11 2024
United States,Jul 10 2021,1645,Jul 11 2024
United States,Jul  3 2021,1543,Jul 11 2024
United States,Jun 26 2021,1635,Jul 11 2024
United States,Jun 19 2021,1776,Jul 11 2024
United States,Jun 12 2021,2035,Jul 11 2024
United States,Jun  5 2021,2347,Jul 11 2024
United States,May 29 2021,2770,Jul 11 2024
United States,May 22 2021,3238,Jul 11 2024
United States,May 15 2021,3678,Jul 11 2024
United States,May  8 2021,4006,Jul 11 2024
United States,May  1 2021,4165,Jul 11 2024
United States,Apr 24 2021,4601,Jul 11 2024
United States,Apr 17 2021,4450,Jul 11 2024
United States,Apr 10 2021,4313,Jul 11 2024
United States,Apr  3 2021,4197,Jul 11 2024
United States,Mar 27 2021,4461,Jul 11 2024
United States,Mar 20 2021,4893,Jul 11 2024
United States,Mar 13 2021,5725,Jul 11 2024
United States,Mar  6 2021,6731,Jul 11 2024
United States,Feb 27 2021,8654,Jul 11 2024
United States,Feb 20 2021,10807,Jul 11 2024
United States,Feb 13 2021,13519,Jul 11 2024
United States,Feb  6 2021,17034,Jul 11 2024
United States,Jan 30 2021,20322,Jul 11 2024
United States,Jan 23 2021,23687,Jul 11 2024
United States,Jan 16 2021,25692,Jul 11 2024
United States,Jan  9 2021,25974,Jul 11 2024
United States,Jan  2 2021,24845,Jul 11 2024
United States,Dec 26 2020,23364,Jul 11 2024
United States,Dec 19 2020,22314,Jul 11 2024
United States,Dec 12 2020,20913,Jul 11 2024
United States,Dec  5 2020,18545,Jul 11 2024
United States,Nov 28 2020,15615,Jul 11 2024
United States,Nov 21 2020,13343,Jul 11 2024
United States,Nov 14 2020,10644,Jul 11 2024
United States,Nov  7 2020,8754,Jul 11 2024
